Paese,Clic,Impressioni,CTR,Posizione
Serbia,10,1348,0.74%,8.51
Libano,10,356,2.81%,10.87
Iran,8,763,1.05%,10.08
Georgia,7,717,0.98%,9.5
Etiopia,7,434,1.61%,16.17
Lettonia,7,394,1.78%,8.39
Siria,7,389,1.8%,9.51
Andorra,7,212,3.3%,9.91
Corea del Sud,6,3298,0.18%,14.91
Arabia Saudita,6,1341,0.45%,16.62
Kosovo,6,359,1.67%,6.78
Nuova Zelanda,6,354,1.69%,10.34
Indonesia,5,5800,0.09%,15.66
Hong Kong,5,1195,0.42%,7.18
Costa Rica,5,590,0.85%,12.4
Cuba,5,247,2.02%,8.38
Liechtenstein,5,104,4.81%,6.27
Sudafrica,4,1804,0.22%,13.23
Ecuador,4,1575,0.25%,17.49
Azerbaigian,4,1210,0.33%,8.4
Repubblica Dominicana,4,1202,0.33%,13.43
Singapore,4,1116,0.36%,8.77
Giordania,4,496,0.81%,14.75
Somalia,4,63,6.35%,11.7
Paraguay,3,489,0.61%,14.85
Uzbekistan,3,452,0.66%,16.87
Cipro,3,304,0.99%,8.49
Portorico,3,196,1.53%,11.33
Kuwait,3,169,1.78%,12.54
Bangladesh,2,2181,0.09%,19.17
Pakistan,2,2050,0.1%,18.1
Malaysia,2,1741,0.11%,12.84
Bielorussia,2,588,0.34%,12.33
Bolivia,2,523,0.38%,17.43
Panama,2,383,0.52%,14.09
Oman,2,243,0.82%,14.53
Montenegro,2,173,1.16%,7.77
Afghanistan,2,120,1.67%,7.53
Nigeria,1,1215,0.08%,17.23
Taiwan,1,788,0.13%,12.14
Bosnia ed Erzegovina,1,605,0.17%,8.9
Kenya,1,571,0.18%,15.49
Guatemala,1,523,0.19%,13.81
Kazakistan,1,404,0.25%,14.18
Senegal,1,299,0.33%,15.08
Armenia,1,269,0.37%,12.09
Palestina,1,251,0.4%,12.64
Giamaica,1,176,0.57%,20.03
Bahrein,1,131,0.76%,17.36
Uganda,1,127,0.79%,10.81
Camerun,1,121,0.83%,11.31
Seychelles,1,106,0.94%,7.58
Mozambico,1,82,1.22%,9.37
Yemen,1,65,1.54%,11.05
Jersey,1,50,2%,11.36
Eritrea,1,13,7.69%,4.54
Guernsey,1,11,9.09%,11.73
Groenlandia,1,3,33.33%,3.67
Costa d'Avorio,0,559,0%,22.97
Nepal,0,384,0%,16.78
Ghana,0,357,0%,15.68
Honduras,0,299,0%,15.98
Cambogia,0,271,0%,13.63
Qatar,0,251,0%,10.59
Sri Lanka,0,240,0%,9.92
El Salvador,0,237,0%,14.18
Tanzania,0,233,0%,8.6
Trinidad e Tobago,0,196,0%,21.22
Zimbabwe,0,163,0%,9.74
Angola,0,155,0%,11.08
Nicaragua,0,152,0%,13.55
Benin,0,124,0%,16.21
Myanmar (Birmania),0,118,0%,31.35
Capo Verde,0,116,0%,9.72
Islanda,0,111,0%,8.02
Zambia,0,109,0%,9.71
Mongolia,0,109,0%,11.87
Repubblica Democratica del Congo,0,100,0%,9.38
Burkina Faso,0,99,0%,11.29
Kirghizistan,0,98,0%,18.72
Madagascar,0,97,0%,8.75
Barbados,0,87,0%,20.56
Togo,0,86,0%,18.87
Bahamas,0,86,0%,19.71
Mauritius,0,81,0%,10.44
Gabon,0,72,0%,16.38
Laos,0,65,0%,11.52
Niger,0,57,0%,7.04
Mali,0,51,0%,7
Repubblica del Congo,0,51,0%,15.9
Sudan,0,49,0%,9.35
Botswana,0,49,0%,15.59
Haiti,0,47,0%,11.64
Malawi,0,44,0%,13.93
Ruanda,0,43,0%,19.42
Macao,0,40,0%,9.32
Gibilterra,0,39,0%,9.44
Brunei,0,37,0%,16.81
Namibia,0,36,0%,15.03
Guinea,0,33,0%,6.94
Turkmenistan,0,31,0%,6.26
Liberia,0,30,0%,9.4
Mauritania,0,30,0%,10.3
Gibuti,0,28,0%,15.39
Belize,0,28,0%,19.57
Guiana,0,24,0%,21.08
Grenada,0,24,0%,23.88
Figi,0,22,0%,20
Tagikistan,0,21,0%,8.19
Martinica,0,21,0%,17.62
Swaziland,0,20,0%,7.15
Isola di Man,0,20,0%,7.55
Bhutan,0,20,0%,11.95
Gambia,0,19,0%,7.53
Papua Nuova Guinea,0,19,0%,7.79
Ciad,0,18,0%,6.56
Sint Maarten,0,18,0%,7
Sierra Leone,0,18,0%,11.33
Santa Lucia,0,16,0%,14.12
Lesotho,0,15,0%,9
Saint Vincent e Grenadine,0,15,0%,9.13
Bermuda,0,15,0%,11.53
Sahara occidentale,0,15,0%,17.4
Isole Cayman,0,15,0%,19
Aruba,0,14,0%,10.07
Guadalupa,0,13,0%,10.85
Riunione,0,13,0%,12.77
Antigua e Barbuda,0,13,0%,24.54
Curaçao,0,12,0%,9.42
Sudan del Sud,0,12,0%,10.33
Burundi,0,12,0%,11
Suriname,0,12,0%,15
Isole Åland,0,11,0%,5.73
Isole Vergini britanniche,0,10,0%,16.8
Isole Turks e Caicos,0,10,0%,31.9
Isole Fær Øer,0,9,0%,7.56
Nuova Caledonia,0,9,0%,8.33
Guinea Equatoriale,0,9,0%,10.11
Isole BES,0,8,0%,6
Polinesia Francese,0,8,0%,12.38
Saint Kitts e Nevis,0,8,0%,16.75
Guinea-Bissau,0,7,0%,4.14
Isole Vergini Statunitensi,0,7,0%,7.43
Guam,0,7,0%,21.57
Comore,0,6,0%,15.5
Timor Est,0,5,0%,2.6
Isole Cook,0,5,0%,17
Antartide,0,4,0%,4.75
Vanuatu,0,4,0%,6
Kiribati,0,4,0%,7
Saint Martin,0,4,0%,8.25
Isole Salomone,0,4,0%,8.5
Dominica,0,4,0%,9.25
Guiana Francese,0,3,0%,6.33
Palau,0,3,0%,7
Samoa,0,3,0%,7.33
Micronesia,0,3,0%,11
Anguilla,0,3,0%,13.33
Repubblica Centrafricana,0,2,0%,4.5
Corea del Nord,0,2,0%,6.5
São Tomé e Príncipe,0,2,0%,7.5
Mayotte,0,2,0%,11.5
Svalbard e Jan Mayen,0,2,0%,14
Tonga,0,2,0%,15
Saint Barthélemy,0,1,0%,5
Saint-Pierre e Miquelon,0,1,0%,8
Nauru,0,1,0%,9
Isole Marshall,0,1,0%,11
Isole Falkland (Malvine),0,1,0%,13
