Pagine principali,Clic,Impressioni,CTR,Posizione
https://shop.moruzzi.it/it/austria-maria-teresa-tallero-riconio-1780-zecca-di-vienna-argento-fdc-km-t1-28371.html,714,43304,1.65%,7
https://shop.moruzzi.it/it/banconote/banconote-italiane/5000-lire.html,707,71936,0.98%,6.43
https://shop.moruzzi.it/it/banconote/banconote-italiane/100-lire.html,684,54017,1.27%,8.9
https://shop.moruzzi.it/it/monete/monete-romane-repubblicane.html,662,27769,2.38%,11.16
https://shop.moruzzi.it/it/monete/monete-del-regno-d-italia/vittorio-emanuele-iii/2-lire.html,641,33201,1.93%,8.61
https://shop.moruzzi.it/it/medaglie/medaglie-papali/le-medaglie-di-paolo-vi-1963-1978.html,622,9386,6.63%,6.94
https://shop.moruzzi.it/it/monete/monete-italiane-preunitarie/regno-delle-due-sicilie-1806-1860.html,598,14116,4.24%,7.76
https://shop.moruzzi.it/it/banconote/banconote-italiane/5-lire.html,595,48605,1.22%,7.7
https://shop.moruzzi.it/en/italia-50-anniversario-vittoria-medaglia-in-oro-1968-opus-libero-mancinelli-fdc-27910.html,540,6652,8.12%,4.8
https://shop.moruzzi.it/it/italia-50-anniversario-vittoria-medaglia-in-oro-1968-opus-libero-mancinelli-fdc-26669.html,534,7000,7.63%,4.58
https://shop.moruzzi.it/it/repubblica-italiana-100-lire-1960-minerva-zecca-di-roma-acmonital-fdc-145991-pagani-2156.html,527,24574,2.14%,8.25
https://shop.moruzzi.it/it/monete/euro/2-euro-commemorativi.html,488,25332,1.93%,17.55
https://shop.moruzzi.it/it/monete/monete-della-repubblica-italiana/serie-divisionali-in-lire.html,480,8072,5.95%,7.52
https://shop.moruzzi.it/it/banconote/banconote-italiane/20000-lire.html,458,38447,1.19%,6.26
https://shop.moruzzi.it/it/repubblica-italiana-100-lire-1958-minerva-zecca-di-roma-acmonital-fdc-145996-pagani-2154.html,449,21117,2.13%,4.73
https://shop.moruzzi.it/it/regno-d-italia-vittorio-emanuele-iii-10-centesimi-1922-ape-zecca-di-roma-rame-fdc-pagani-867.html,440,19747,2.23%,7.74
https://shop.moruzzi.it/it/repubblica-italiana-10-lire-1946-olivo-zecca-di-roma-italma-fdc-r-pagani-2301.html,432,37091,1.16%,5.55
https://shop.moruzzi.it/it/monete/monete-della-repubblica-italiana/monete-da-100-lire.html,425,49707,0.86%,9.49
https://shop.moruzzi.it/it/regno-d-italia-vittorio-emanuele-iii-20-lire-1936-xiv-impero-zecca-di-roma-argento-mbb-r-130359-pagani-681.html,421,10144,4.15%,6.46
https://shop.moruzzi.it/it/repubblica-italiana-50-lire-1957-vulcano-i-tipo-zecca-di-roma-acmonital-qfdc-nc-pagani-2204.html,402,11101,3.62%,7.53
https://shop.moruzzi.it/it/banconote/banconote-italiane/50-lire.html,385,25821,1.49%,7.95
https://shop.moruzzi.it/it/monete/monete-greche/magna-grecia-e-sicilia.html,385,9756,3.95%,9.5
https://shop.moruzzi.it/it/monete/monete-del-regno-d-italia/vittorio-emanuele-iii/1-lira.html,380,20007,1.9%,9.06
https://shop.moruzzi.it/it/monete/monete-di-san-marino.html,374,20521,1.82%,8.73
https://shop.moruzzi.it/it/monete/euro/vaticano.html,372,29631,1.26%,10.47
https://shop.moruzzi.it/it/monete/euro/serie-divisionali-in-euro.html,372,8630,4.31%,7.75
https://shop.moruzzi.it/it/repubblica-italiana-5-lire-1956-delfino-zecca-di-roma-mspl-r-pagani-2361.html,356,33291,1.07%,8.42
https://shop.moruzzi.it/it/regno-d-italia-vittorio-emanuele-iii-5-lire-scudo-1911-cinquantenario-zecca-di-roma-argento-mspl-r-130276-pagani-707.html,355,9313,3.81%,7.88
https://shop.moruzzi.it/it/monete/monete-d-oltremare/stati-uniti-d-america.html,352,27023,1.3%,9.14
https://shop.moruzzi.it/it/regno-d-italia-vittorio-emanuele-iii-buono-da-1-lira-italia-seduta-1922-zecca-di-roma-nichel-qfdc-pagani-776-28461.html,349,15027,2.32%,6.79
https://shop.moruzzi.it/it/monete/monete-del-regno-d-italia/umberto-i.html,349,12148,2.87%,7.64
https://shop.moruzzi.it/it/stato-pontificio-pio-ix-mastai-ferretti-5-lire-scudo-1870-a-xxiv-zecca-di-roma-argento-spl-r-pagani-549.html,344,7921,4.34%,6.18
https://shop.moruzzi.it/it/repubblica-italiana-banca-d-italia-10000-lire-21-11-1955-capranesi-repubbliche-marinare-firme-menichella-boggione-qfds-crapanzano-561.html,340,30041,1.13%,7.33
https://shop.moruzzi.it/it/regno-d-italia-napoleone-i-5-lire-1812-milano-argento-spl-r-pagani-30a.html,338,6771,4.99%,7.32
https://shop.moruzzi.it/it/monete/monete-romane-repubblicane/monete-delle-guerre-civili/monete-di-giulio-cesare.html,335,7606,4.4%,5.73
https://shop.moruzzi.it/it/monete/monete-bizantine.html,329,9992,3.29%,7.4
https://shop.moruzzi.it/it/monete/monete-della-repubblica-italiana/monete-da-10-lire-in-italma.html,321,49589,0.65%,8.34
https://shop.moruzzi.it/it/repubblica-italiana-100-lire-1959-minerva-zecca-di-roma-acmonital-fdc-pagani-2155.html,318,12390,2.57%,7.6
https://shop.moruzzi.it/it/monete/monete-del-regno-d-italia/vittorio-emanuele-iii/5-lire.html,302,23900,1.26%,8.98
https://shop.moruzzi.it/it/medaglie/medaglie-italiane.html,296,28063,1.05%,10.68
https://shop.moruzzi.it/it/banconote/banconote-italiane/10-lire.html,293,19901,1.47%,8.23
https://shop.moruzzi.it/it/monete/monete-pontificie.html,288,9729,2.96%,7.21
https://shop.moruzzi.it/it/monete/monete-dell-impero-romano/coniazioni-sotto-antonino-pio.html,280,5252,5.33%,6.79
https://shop.moruzzi.it/it/monaco-2-euro-2025-fs-contea-di-carlades-28370.html,279,11965,2.33%,7.28
https://shop.moruzzi.it/it/italia-luogotenenza-biglietto-di-stato-1-lira-23-11-1944-firme-bolaffi-cavallaro-giovinco-fds-152566-crapanzano-bs8-25850.html,272,14928,1.82%,6.88
https://shop.moruzzi.it/it/repubblica-italiana-50-lire-1961-vulcano-i-tipo-zecca-di-roma-acmonital-fdc-145974-pagani-2208.html,266,8898,2.99%,7.31
https://shop.moruzzi.it/it/medaglie/medaglie-papali/le-medaglie-di-pio-ix-1846-1878.html,265,3720,7.12%,6.27
https://shop.moruzzi.it/it/repubblica-italiana-100-lire-1962-minerva-zecca-di-roma-acmonital-fdc-146000-pagani-2158.html,264,9635,2.74%,8.08
https://shop.moruzzi.it/it/regno-d-italia-umberto-i-10-centesimi-1894-r-zecca-di-roma-rame-fdc-r-pagani-615.html,262,15129,1.73%,7.35
https://shop.moruzzi.it/it/monete/monete-greche/grecia-e-mondo-greco/monete-di-alessandro-magno.html,260,4447,5.85%,5.25
https://shop.moruzzi.it/it/repubblica-italiana-50-lire-1962-vulcano-i-tipo-zecca-di-roma-acmonital-fdc-145983-pagani-2209.html,257,19425,1.32%,7.75
https://shop.moruzzi.it/it/medaglie/medaglie-papali/le-medaglie-di-leone-xiii-1878-1903.html,253,3784,6.69%,5.65
https://shop.moruzzi.it/it/banconote/banconote-italiane/500000-lire.html,248,39167,0.63%,9.57
https://shop.moruzzi.it/it/monete/monete-dell-impero-romano/coniazioni-della-famiglia-di-costantino.html,245,8757,2.8%,6.93
https://shop.moruzzi.it/it/monete/monete-della-citta-del-vaticano/paolo-vi-montini-1963-1978.html,241,5172,4.66%,7.08
https://shop.moruzzi.it/it/banconote/banconote-d-oltremare.html,237,8374,2.83%,10.06
https://shop.moruzzi.it/it/medaglie/medaglie-papali/le-medaglie-di-pio-xii-1939-1958.html,235,3372,6.97%,7.71
https://shop.moruzzi.it/it/monete/monete-della-citta-del-vaticano/giovanni-paolo-ii-wojtyla-1978-2001-coniazioni-in-lire.html,234,9831,2.38%,8.32
https://shop.moruzzi.it/it/monete/monete-del-regno-d-italia/vittorio-emanuele-iii/10-lire.html,233,15002,1.55%,8.98
https://shop.moruzzi.it/it/regno-d-italia-vittorio-emanuele-ii-1861-1878-lira-stemma-sabaudo-1861.html,233,11481,2.03%,7.65
https://shop.moruzzi.it/it/monete/monete-dell-europa/francia.html,227,21015,1.08%,10.02
https://shop.moruzzi.it/es/home.html,226,2211,10.22%,8.45
https://shop.moruzzi.it/it/monete/monete-greche/magna-grecia-e-sicilia/tetradrammi-di-siracusa.html,224,4832,4.64%,5.53
https://shop.moruzzi.it/it/monete/monete-italiane-preunitarie/pesaro.html,222,2859,7.76%,5.61
https://shop.moruzzi.it/it/medaglie/medaglie-papali/le-medaglie-di-giovanni-paolo-i-1978.html,221,2331,9.48%,7
https://shop.moruzzi.it/it/francia-napoleone-iii-5-franchi-1868-a-zecca-di-parigi-argento-fdc-63100-gadoury-739.html,216,7417,2.91%,9.14
https://shop.moruzzi.it/it/banconote/banconote-italiane/cartamoneta-di-vittorio-emanuele-iii.html,214,6778,3.16%,10.29
https://shop.moruzzi.it/it/citta-del-vaticano-pio-xi-10-lire-1935-a-xiv-zecca-di-roma-argento-qfdc-pagani-628.html,213,7075,3.01%,7.05
https://shop.moruzzi.it/de/regno-d-italia-vittorio-emanuele-ii-10-centesimi-1867-om-zecca-di-strasburgo-rame-mbb-r-pagani-550.html,208,14605,1.42%,8.2
https://shop.moruzzi.it/it/regno-d-italia-vittorio-emanuele-ii-5-centesimi-1861-b-zecca-di-bologna-rame-qbb-r-pagani-552.html,206,19212,1.07%,8.63
https://shop.moruzzi.it/it/stati-uniti-d-america-dollaro-morgan-1900-o-zecca-di-new-orleans-argento-spl-r-km-110.html,205,10862,1.89%,8.68
https://shop.moruzzi.it/it/regno-d-italia-vittorio-emanuele-iii-lire-100-fascione-1923-zecca-di-roma-oro-qfdc-r-pagani-644-29190.html,203,2871,7.07%,7.04
https://shop.moruzzi.it/it/monete/monete-della-citt-del-vaticano/francesco-jorge-mario-bergoglio-(20132025).html,199,8385,2.37%,8.55
https://shop.moruzzi.it/it/francia-napoleone-iii-5-franchi-1868-bb-zecca-di-strasburgo-argento-fdc-gadoury-739.html,196,4923,3.98%,6.64
https://shop.moruzzi.it/it/regno-d-italia-vittorio-emanuele-iii-2-lire-1942-xx-impero-magnetiche-zecca-di-roma-acmonital-mbb-rr-pagani-761.html,194,9897,1.96%,8.55
https://shop.moruzzi.it/it/monete/monete-dell-impero-romano/coniazioni-sotto-marco-aurelio-e-lucio-vero.html,194,4625,4.19%,7.25
https://shop.moruzzi.it/it/monete/euro/monaco.html,191,14578,1.31%,8.15
https://shop.moruzzi.it/it/offerte-speciali.html,190,29342,0.65%,4.89
https://shop.moruzzi.it/it/monete/monete-dell-impero-romano/coniazioni-sotto-traiano.html,189,5007,3.77%,7.11
https://shop.moruzzi.it/it/italia-serie-annuale-ufficiale-8-valori-1968-fdc.html,189,3234,5.84%,5.94
https://shop.moruzzi.it/it/repubblica-italiana-500-lire-1961-caravelle-zecca-di-roma-argento-qspl-145420-pagani-2104-27406.html,188,26448,0.71%,10.36
https://shop.moruzzi.it/it/monete/monete-italiane-preunitarie.html,184,5504,3.34%,12.31
https://shop.moruzzi.it/it/anonimo-asse-211-208-a-c.html,179,3435,5.21%,4.89
https://shop.moruzzi.it/it/citta-del-vaticano-francesco-i-bergoglio-dal-2013-50-centesimi-2013-e-francobollo-commemorativo-del-50-anniversario-della-morte-di-papa-giovanni-xxiii-da-0-85-vatican-city-stamp-coin-card.html,176,28471,0.62%,9.23
https://shop.moruzzi.it/it/monete/monete-della-repubblica-italiana/monete-da-1-lira-in-italma.html,176,21851,0.81%,9.44
https://shop.moruzzi.it/it/monaco-2-euro-2021-fs-10-anniversario-del-matrimonio-tra-il-principe-alberto-ii-e-charlene-wittstock.html,174,6552,2.66%,7.83
https://shop.moruzzi.it/it/gordiano-iii-sesterzio-241-242-d-c.html,171,4915,3.48%,8.61
https://shop.moruzzi.it/it/repubblica-italiana-100-lire-1955-minerva-zecca-di-roma-acmonital-qfdc-pagani-2151.html,169,18701,0.9%,8.14
https://shop.moruzzi.it/it/regno-di-sardegna-carlo-felice-5-lire-scudo-1827-zecca-di-genova-argento-qfdc-pagani-72.html,169,7928,2.13%,6.58
https://shop.moruzzi.it/it/ducato-di-parma-piacenza-e-guastalla-maria-luigia-d-austria-5-lire-1832-variante-di-data-dove-il-32-e-battuto-su-15-zecca-di-milano-argento-mspl-rr-pagani-7-var.html,169,2394,7.06%,5.7
https://shop.moruzzi.it/it/citta-del-vaticano-2-euro-2022-fdc-125-anniversario-della-nascita-di-papa-paolo-vi.html,168,55342,0.3%,6.59
https://shop.moruzzi.it/it/monete/euro.html,168,28026,0.6%,13.33
https://shop.moruzzi.it/it/repubblica-italiana-lire-1000-centenario-di-roma-capitale-1870-1970-1970-zecca-di-roma-argento-fdc-pagani-2051-27791.html,168,13940,1.21%,9.76
https://shop.moruzzi.it/it/monete/monete-italiane-preunitarie/ferrara.html,168,4387,3.83%,8.06
https://shop.moruzzi.it/it/adriano-sesterzio-134-138-d-c-s-c-diana-con-arco-e-freccia-zecca-di-roma-bronzo-mbb-ric-777.html,165,11116,1.48%,6.41
https://shop.moruzzi.it/it/monete/monete-della-citta-del-vaticano/giovanni-xxiii-roncalli-1958-1963.html,165,6225,2.65%,6.51
https://shop.moruzzi.it/it/regno-d-italia-vittorio-emanuele-ii-1-centesimo-1867-t-zecca-di-torino-rame-qfdc-rr-pagani-566.html,158,13783,1.15%,9.63
https://shop.moruzzi.it/it/monete/monete-dell-europa/gran-bretagna.html,158,11050,1.43%,10.45
https://shop.moruzzi.it/it/medaglie/medaglie-papali/le-medaglie-di-pio-x-1903-1914.html,158,1433,11.03%,4.74
https://shop.moruzzi.it/it/repubblica-italiana-banca-d-italia-10000-lire-08-05-1948-repubbliche-marinare-firme-einaudi-urbini-mbb-nc-crapanzano-552.html,156,9026,1.73%,9.34
https://shop.moruzzi.it/es/billetes/billetes-italianos/banco-nacional-del-reino-de-italia.html,154,1868,8.24%,9.27
https://shop.moruzzi.it/it/medaglie/medaglie-papali/le-medaglie-di-pio-xi-1922-1939.html,153,2238,6.84%,5.89
https://shop.moruzzi.it/it/regno-d-italia-vittorio-emanuele-ii-5-lire-scudo-1875-m-zecca-di-milano-argento-mspl-67453-pagani-499.html,152,7494,2.03%,8.34
https://shop.moruzzi.it/it/monete/monete-italiane-preunitarie/regno-di-sicilia-1127-1816.html,152,6447,2.36%,8.51
https://shop.moruzzi.it/it/faustina-ii-sesterzio-161-180-d-c.html,152,3995,3.8%,6.37
https://shop.moruzzi.it/it/repubblica-italiana-biglietto-di-stato-100-lire-specimen-31-12-1951-italia-elmata-firme-di-cristina-cavallaro-parisi-fds-rr-crapanzano-cfr-bs-57.html,149,5899,2.53%,6.1
https://shop.moruzzi.it/it/regno-delle-due-sicilie-gioacchino-napoleone-murat-5-lire-scudo-1813-zecca-di-napoli-argento-qspl-r-pannuti-riccio-13.html,149,3358,4.44%,6.05
https://shop.moruzzi.it/it/medaglie/medaglie-papali/le-medaglie-di-benedetto-xvi-2005-2013.html,149,1804,8.26%,7.89
https://shop.moruzzi.it/it/monete/monete-italiane-preunitarie/napoleone-bonaparte-(18021814).html,148,6305,2.35%,8.28
https://shop.moruzzi.it/it/stati-uniti-d-america-dollaro-morgan-1899-o-zecca-di-new-orleans-argento-bb-r-km-110.html,147,8490,1.73%,9.72
https://shop.moruzzi.it/it/regno-d-italia-umberto-i-2-lire-1881-zecca-di-roma-argento-qfdc-pagani-591.html,147,3795,3.87%,7.12
https://shop.moruzzi.it/it/monete/monete-della-citta-del-vaticano/pio-xii-pacelli-1939-1958.html,146,2909,5.02%,8.06
https://shop.moruzzi.it/it/monete/monete-italiane-preunitarie/gorizia.html,146,1355,10.77%,5.78
https://shop.moruzzi.it/it/repubblica-italiana-banca-d-italia-10000-lire-02-11-1961-28-05-1962-capranesi-repubbliche-marinare-serie-speciale-firme-carli-ripa-qspl-rr-crapanzano-570s.html,141,9967,1.41%,9.15
https://shop.moruzzi.it/it/claudio-asse-50-54-d-c-s-c-minerva-galeata-con-lancia-e-scudo-zecca-di-roma-bronzo-mbb-ric-116-25645.html,139,9962,1.4%,4.9
https://shop.moruzzi.it/it/monete/monete-dell-impero-romano/coniazioni-sotto-alessandro-severo.html,139,2330,5.97%,6.09
https://shop.moruzzi.it/it/stato-pontificio-pio-ix-mastai-ferretti-20-lire-marengo-1866-an-xxi-zecca-di-roma-oro-bb-pagani-529-27545.html,139,1610,8.63%,7.42
https://shop.moruzzi.it/it/regno-d-italia-vittorio-emanuele-iii-10-centesimi-1911-cinquantenario-zecca-di-roma-rame-mb-32464-pagani-863-26236.html,138,7265,1.9%,6.57
https://shop.moruzzi.it/it/commodo-sesterzio-187-188-d-c-p-m-tr-p-xiii-imp-viii-cos-v-p-p-s-c-for-red-la-fortuna-seduta-con-timone-posato-su-un-globo-e-cornucopia-zecca-di-roma-bronzo-spl-ric-513.html,137,6192,2.21%,8.14
https://shop.moruzzi.it/it/monete/monete-dell-impero-romano/coniazioni-sotto-commodo.html,137,2138,6.41%,5.84
https://shop.moruzzi.it/it/monete/monete-del-regno-d-italia/vittorio-emanuele-iii/i-centesimi.html,136,13340,1.02%,14.19
https://shop.moruzzi.it/it/regno-d-italia-vittorio-emanuele-iii-buono-da-lire-2-1928-esposizione-di-milano-zecca-di-milano-stabilimento-johnson-rame-dorato-bb-unificato-vem3-1140-26358.html,135,3743,3.61%,7.09
https://shop.moruzzi.it/de/regno-delle-due-sicilie-ferdinando-ii-di-borbone-120-grana-1857-zecca-di-napoli-argento-qspl-153542-pannuti-riccio-86-26153.html,135,2690,5.02%,6.11
https://shop.moruzzi.it/es/regno-d-italia-vittorio-emanuele-iii-20-centesimi-1920-esagono-bordo-liscio-zecca-di-roma-nichel-fdc-r-pagani-852.html,134,8440,1.59%,9.45
https://shop.moruzzi.it/it/regno-d-italia-vittorio-emanuele-ii-2-lire-1863-n-stemma-zecca-di-napoli-argento-mbb-62732-pagani-506.html,133,6714,1.98%,7.59
https://shop.moruzzi.it/es/monedas/monedas-imperiales-romanas/monedas-acu-adas-bajo-el-emperador-trajano.html,133,2432,5.47%,6.84
https://shop.moruzzi.it/it/monete/monete-della-repubblica-italiana/monete-da-2-lire-in-italma.html,132,9621,1.37%,9.92
https://shop.moruzzi.it/it/monete/monete-dell-impero-romano/coniazioni-sotto-adriano.html,132,3300,4%,7.14
https://shop.moruzzi.it/it/monete/monete-dell-impero-romano/coniazioni-sotto-nerone.html,130,4217,3.08%,8.32
https://shop.moruzzi.it/it/regno-d-italia-vittorio-emanuele-iii-50-centesimi-1943-xxi-impero-zecca-di-roma-nichel-mspl-r-90791-pagani-826.html,129,13662,0.94%,8.59
https://shop.moruzzi.it/it/banconote/banconote-italiane/biglietti-di-stato.html,129,7049,1.83%,9.89
https://shop.moruzzi.it/it/gorizia-francesco-ii-d-asburgo-2-soldi-1799-k-zecca-di-kremnitz-bronzo-mbb-cni-13.html,128,3490,3.67%,6
https://shop.moruzzi.it/it/monete/monete-dell-impero-romano/coniazioni-sotto-i-gordiani.html,128,2910,4.4%,6.94
https://shop.moruzzi.it/it/monete/monete-dell-impero-romano/coniazioni-sotto-claudio.html,127,3197,3.97%,6.75
https://shop.moruzzi.it/it/repubblica-italiana-lire-500-7-centenario-della-nascita-di-dante-alighieri-allegorie-dell-inferno-purgatorio-e-paradiso-1965-zecca-di-roma-argento-fdc-pagani-2145a-29035.html,126,12505,1.01%,8.84
https://shop.moruzzi.it/it/colonia-eritrea-umberto-i-1890-1896-tallero-1896.html,126,3309,3.81%,7.74
https://shop.moruzzi.it/it/stati-uniti-d-america-dollaro-morgan-1921-zecca-di-philadelphia-argento-bb-152649-km-110.html,123,5583,2.2%,8.15
https://shop.moruzzi.it/es/monedas/monedas-imperiales-romanas/monedas-acu-adas-bajo-el-emperador-neron.html,122,2631,4.64%,8
https://shop.moruzzi.it/it/regno-d-italia-vittorio-emanuele-iii-1900-1943-centesimo-italia-su-prora-1908.html,121,5677,2.13%,8.03
https://shop.moruzzi.it/it/italia-vittorio-emanuele-iii-banca-d-italia-100-lire-08-09-1926-barbetti-matrice-fascio-crapanzano-193-1.html,121,4234,2.86%,7.29
https://shop.moruzzi.it/it/repubblica-italiana-5-lire-1946-uva-con-data-piccola-zecca-di-roma-italma-fdc-rrr-pagani-2351-var.html,120,6530,1.84%,7.32
https://shop.moruzzi.it/it/monete/monete-italiane-preunitarie/milano.html,120,4693,2.56%,11.14
https://shop.moruzzi.it/it/monete/monete-del-regno-di-sardegna/carlo-felice-1821-1831.html,120,2659,4.51%,8.12
https://shop.moruzzi.it/it/stati-uniti-d-america-dollaro-morgan-1891-o-zecca-di-new-orleans-argento-154736-qbb-km-110.html,119,4260,2.79%,6.93
https://shop.moruzzi.it/it/repubblica-italiana-2-lire-1946-spiga-zecca-di-roma-italma-bb-r-84269-pagani-2401.html,117,5407,2.16%,7.59
https://shop.moruzzi.it/it/regno-d-italia-vittorio-emanuele-ii-1-lira-1863-m-stemma-zecca-di-milano-argento-fdc-pagani-514.html,117,4294,2.72%,8.14
https://shop.moruzzi.it/it/sicilia-siracusa-gerone-ii-bronzo-274-216-a-c-testa-diademata-e-dietro-la-nuca-pedum-cavaliere-su-cavallo-e-in-esergo-ieponos-zecca-di-siracusa-qspl-buceti-1449-25688.html,117,4086,2.86%,6.58
https://shop.moruzzi.it/it/stato-pontificio-pio-vi-braschi-madonnina-da-5-baiocchi-1797-zecca-di-perugia-rame-bb-r-muntoni-388.html,117,2454,4.77%,6.54
https://shop.moruzzi.it/it/regno-d-italia-vittorio-emanuele-iii-1-lira-1943-xxi-impero-zecca-di-roma-acmonital-qfdc-r-23031-pagani-797.html,115,9868,1.17%,8.58
https://shop.moruzzi.it/it/banconote/banconote-italiane/banca-d-italia.html,115,3245,3.54%,14.21
https://shop.moruzzi.it/it/ducato-di-milano-galeazzo-maria-sforza-grosso-da-4-soldi-senza-data-sant-ambrogio-argento-mbb-r-crippa-12-27550.html,114,4167,2.74%,6.58
https://shop.moruzzi.it/it/regno-d-italia-vittorio-emanuele-iii-20-lire-1928-a-vi-cappellone-o-elmetto-zecca-di-roma-argento-qfdc-r-145857-pagani-680.html,113,4109,2.75%,7.15
https://shop.moruzzi.it/it/monete/monete-dell-impero-romano/coniazioni-sotto-filippo-i.html,113,2362,4.78%,6.94
https://shop.moruzzi.it/it/traiano-sesterzio-99-100-d-c-tr-pot-cos-iii-p-p-s-c-la-concordia-seduta-con-patera-e-doppia-cornucopia-davanti-a-lei-un-altare-acceso-e-inghirlandato-zecca-di-roma-bronzo-mbb-ric-412.html,112,3916,2.86%,7.85
https://shop.moruzzi.it/it/regno-delle-due-sicilie-francesco-ii-di-borbone-grana-120-1859-zecca-di-napoli-argento-mb-nc-pagani-481-25623.html,110,4401,2.5%,8.24
https://shop.moruzzi.it/it/regno-d-italia-vittorio-emanuele-iii-10-centesimi-1936-ape-pagani-881.html,110,4018,2.74%,10.47
https://shop.moruzzi.it/it/vespasiano-sesterzio-71-dc-mars-victor--s-c-marte-con-vittoria-e-trofeo-zecca-di-roma-bronzo-mbb-(r)-(ric-90)-26965.html,110,3942,2.79%,6.45
https://shop.moruzzi.it/it/repubblica-italiana-serie-completa-composta-da-1-lira-arancia-2-lire-spiga-5-lire-uva-e-10-lire-olivo-1946-zecca-di-roma-italma-qfdc-fdc-r-pagani-2301-2351-2401-2451.html,109,6408,1.7%,9.18
https://shop.moruzzi.it/it/seconda-repubblica-romana-baiocchi-3-1849-b-zecca-di-bologna-rame-spl-pagani-260-28884.html,109,4381,2.49%,5.83
https://shop.moruzzi.it/it/monete/monete-italiane-preunitarie/regno-di-napoli-1266-1816.html,108,4134,2.61%,8.51
https://shop.moruzzi.it/it/repubblica-italiana-50-lire-1962-vulcano-i-tipo-zecca-di-roma-acmonital-fdc-145984-pagani-2209-26103.html,106,9129,1.16%,7.43
https://shop.moruzzi.it/it/regno-delle-due-sicilie-ferdinando-ii-di-borbone-120-grana-1854-zecca-di-napoli-argento-spl-pannuti-riccio-83-1.html,106,3036,3.49%,8.51
https://shop.moruzzi.it/it/regno-d-italia-vittorio-emanuele-ii-5-lire-scudo-1870-zecca-di-roma-argento-spl-r-pagani-491.html,105,5345,1.96%,9.16
https://shop.moruzzi.it/it/citta-del-vaticano-pio-xii-pacelli-100-lire-iv-tipo-1956-a-xviii-zecca-di-roma-oro-fdc-rr-pagani-722-27261.html,104,4381,2.37%,7.96
https://shop.moruzzi.it/it/agrippa-asse-37-41-d-c-m-agrippa-l-f-cos-iii-testa-con-corona-rostrata-s-c-nettuno-con-tridente-e-piccolo-delfino-zecca-di-roma-bronzo-spl-ric-58.html,104,2120,4.91%,6.01
